category,macro,country,object_term,depth,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
Category:2014 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,9,4466,21531.1
Category:2015 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,10,4466,21533.5
Category:2016 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,7,4466,21535.3
Category:2017 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,2,0,4466,21569.1
Category:2018 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,5,4466,21587.3
Category:2019 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,7,4466,21589.0
Category:2020 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,15,4466,21592.2
Category:2021 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,23,4466,21595.6
Category:2022 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,3,4466,21597.5
Category:2023 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,2,0,4466,21631.3
Category:2024 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,4,4466,21639.0
Category:2025 stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,3,completed,0,0,1,4466,21640.5
Category:Animals on stamps of Laos,Southeast Asia,Laos,postage stamp,3,completed,0,0,2,4466,21642.1
Category:1919 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21643.7
Category:1923 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21645.2
Category:1925 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,2,0,4466,21678.8
Category:1927 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,1,1,4466,21702.2
Category:1928 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21703.7
Category:1930 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21705.3
Category:1938 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21706.8
Category:1942 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21708.8
Category:1949 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,1,0,4466,21726.5
Category:1961 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,1,1,4466,21760.3
Category:1964 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21761.9
Category:1965 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21763.4
Category:1968 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,2,4466,21765.1
Category:2011 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21766.5
Category:2013 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,1,0,4466,21784.2
Category:2014 stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,1,1,4466,21818.3
Category:Helicopters on stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,4,4466,21820.2
Category:Christmas on stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,3,completed,0,0,1,4466,21821.7
Category:Animals on stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,21,4466,21824.2
Category:Monarchs of Malaysia on stamps,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,1,4466,21825.9
Category:Sports on stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,21843.5
Category:1869 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,21877.5
Category:1871 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21878.9
Category:1875 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21880.3
Category:1876 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21881.9
Category:1878 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21883.4
Category:1880 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,21901.1
Category:1881 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,21934.8
Category:1882 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21941.8
Category:1883 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21943.3
Category:1884 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21944.8
Category:1885 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21946.4
Category:1886 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21947.9
Category:1887 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,21981.7
Category:1888 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,21999.5
Category:1889 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22000.9
Category:1890 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22002.5
Category:1891 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22004.1
Category:1892 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22005.6
Category:1893 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22039.4
Category:1894 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22057.0
Category:1895 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22058.4
Category:1896 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22060.0
Category:1897 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22061.5
Category:1898 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22062.9
Category:1899 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22080.6
Category:1900 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22114.5
Category:1901 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22121.5
Category:1902 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22123.0
Category:1903 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22124.5
Category:1904 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22126.2
Category:1905 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22127.8
Category:1906 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22161.5
Category:1908 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22179.8
Category:1909 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22181.3
Category:1910 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22183.0
Category:1911 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22184.4
Category:1912 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22186.0
Category:1915 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22219.8
Category:1918 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22237.4
Category:1919 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22239.0
Category:1920 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22240.5
Category:1921 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22242.1
Category:1922 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22243.7
Category:1923 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22261.3
Category:1924 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22294.9
Category:1925 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22301.9
Category:1926 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22303.5
Category:1927 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22304.9
Category:1928 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22306.6
Category:1932 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22308.1
Category:1933 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22341.9
Category:1934 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22359.7
Category:1935 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,1,4466,22361.2
Category:1936 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22362.8
Category:1937 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22364.3
Category:1938 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22365.8
Category:1939 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22399.7
Category:1940 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22417.2
Category:1941 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22418.6
Category:1942 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22420.1
Category:1943 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22421.7
Category:1945 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22423.3
Category:1946 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22440.7
Category:1947 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22474.5
Category:1948 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22481.6
Category:1949 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22483.4
Category:1950 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22484.9
Category:1951 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22486.4
Category:1952 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22487.8
Category:1953 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22521.4
Category:1954 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22539.4
Category:1955 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22540.9
Category:1956 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22542.5
Category:1957 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22543.9
Category:1958 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22545.4
Category:1959 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,2,0,4466,22579.1
Category:1960 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22602.4
Category:1961 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,1,4466,22604.0
Category:1962 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22605.5
Category:1963 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,5,4466,22607.2
Category:1964 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,0,4466,22608.6
Category:1965 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22626.2
Category:1966 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,7,4466,22660.5
Category:1967 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,2,4466,22662.2
Category:1968 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,4,4466,22663.8
Category:1969 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,1,4466,22665.3
Category:1970 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,0,10,4466,22667.2
Category:1971 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,0,1,0,4466,22684.9
Category:1972 stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,3,completed,2,1,1,4468,22719.4
Category:1949 stamps of Singapore,Southeast Asia,Singapore,postage stamp,3,completed,0,0,4,4468,22721.7
Category:1955 stamps of Singapore,Southeast Asia,Singapore,postage stamp,3,completed,0,0,2,4468,22723.5
Category:1985 stamps of Singapore,Southeast Asia,Singapore,postage stamp,3,completed,1,0,0,4469,22725.0
Category:Aircraft on stamps of Singapore,Southeast Asia,Singapore,postage stamp,3,completed,0,0,2,4469,22726.7
Category:Journey through Singapore with Stamps,Southeast Asia,Singapore,postage stamp,3,completed,0,1,0,4469,22744.2
Category:Relations of Albania and Mexico on stamps,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,1,5,4469,22778.6
Category:Flags of Mexico on stamps,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,27,4469,22781.8
Category:Maps of Mexico on stamps,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,6,4469,22783.9
Category:People of Mexico on stamps,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,1,4469,22785.4
Category:Relations of Mexico and Rwanda on stamps,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,2,4469,22787.1
Category:Stamps of the Mexican Revolution,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,1,0,4469,22804.5
Category:19th-century stamps of Mexico,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,1,0,4469,22838.2
Category:20th-century stamps of Mexico,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,0,4469,22839.9
Category:Lettercards of Mexico,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,5,4469,22841.8
Category:Postal cards of Mexico,Latin America / Caribbean,Mexico,postage stamp,3,completed,0,0,1,4469,22843.4
Category:Flags of Morocco on stamps,Africa,Morocco,postage stamp,3,completed,1,0,10,4470,22845.9
Category:Maps of Morocco on stamps,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,22864.0
Category:1891 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,22898.0
Category:1898 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22899.5
Category:1899 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22901.0
Category:1900 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22902.6
Category:1902 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22904.2
Category:1903 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,22921.9
Category:1905 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,2,0,4470,22955.9
Category:1906 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22963.1
Category:1907 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22964.6
Category:1908 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22966.1
Category:1910 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22967.6
Category:1911 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,22969.2
Category:1912 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,2,0,4470,23002.9
Category:1914 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23020.7
Category:1915 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23022.3
Category:1916 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23023.9
Category:1917 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23025.5
Category:1921 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23027.0
Category:1922 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,2,0,4470,23060.9
Category:1923 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23078.7
Category:1927 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23080.3
Category:1928 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23081.7
Category:1933 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23083.2
Category:1934 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23084.7
Category:1935 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,2,0,4470,23118.5
Category:1937 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,1,4470,23141.8
Category:1939 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23143.8
Category:1941 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23145.4
Category:1943 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23147.1
Category:1947 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,1,4470,23148.6
Category:1948 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23166.4
Category:1949 stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23200.6
Category:1940s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,2,4470,23202.2
Category:1940s stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23203.7
Category:1950s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,4,4470,23205.6
Category:1960s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,10,4470,23208.4
Category:1970s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23226.2
Category:1980s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23260.1
Category:2000s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,8,4470,23262.5
Category:2010s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,5,4470,23264.7
Category:2020s postage stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,2,4470,23266.5
Category:1890s stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23268.1
Category:1900s stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23285.9
Category:1910s stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23319.9
Category:1920s stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23321.4
Category:1930s stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23323.0
Category:19th-century stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23324.7
Category:21st-century stamps of Morocco,Africa,Morocco,postage stamp,3,completed,0,0,0,4470,23326.4
Category:Stamps of Morocco by century,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23344.0
Category:1940s postage stamps of the French Protectorate in Morocco,Africa,Morocco,postage stamp,3,completed,0,1,20,4470,23380.4
Category:1950s postage stamps of the French Protectorate in Morocco,Africa,Morocco,postage stamp,3,completed,0,0,15,4470,23383.5
Category:1900 stamps of Germany for Morocco,Africa,Morocco,postage stamp,3,completed,0,0,1,4470,23385.2
Category:1905 stamps of Germany for Morocco,Africa,Morocco,postage stamp,3,completed,0,0,1,4470,23387.2
Category:1906 stamps of Germany for Morocco,Africa,Morocco,postage stamp,3,completed,0,0,1,4470,23389.1
Category:1935 stamps of Spanish Morocco,Africa,Morocco,postage stamp,3,completed,0,1,0,4470,23406.8
Category:1920s postage stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,15,4470,23442.6
Category:1930s postage stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,9,4470,23444.7
Category:1940s postage stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,8,4470,23446.9
Category:1860s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23448.4
Category:1870s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23450.0
Category:1850s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23467.7
Category:1880s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23501.8
Category:1890s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23503.4
Category:1900s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23504.9
Category:1910s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23506.5
Category:1920s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23508.1
Category:1930s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23525.6
Category:1950s stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23559.6
Category:Aircraft on stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,3,4470,23561.3
Category:Animals on stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,3,4470,23563.2
Category:Ships on stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,7,4470,23565.2
Category:1862 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23566.8
Category:1864 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23584.4
Category:1867 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,1,4470,23618.4
Category:1872 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23619.9
Category:1873 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23621.4
Category:1891 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23623.0
Category:1892 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23624.7
Category:1893 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23642.4
Category:1894 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,2,0,4470,23676.3
Category:1899 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23677.8
Category:1901 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23679.4
Category:1903 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23681.1
Category:1904 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23682.7
Category:1905 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,2,4470,23684.3
Category:1908 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,2,0,4470,23717.9
Category:1909 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,1,4470,23741.5
Category:1910 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23743.1
Category:1911 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23744.6
Category:1913 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23746.5
Category:1914 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23748.1
Category:1915 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23765.8
Category:1916 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23799.8
Category:1917 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23801.2
Category:1918 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23802.8
Category:1919 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23804.5
Category:1920 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23806.2
Category:1922 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23823.8
Category:1924 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23857.8
Category:1925 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23859.6
Category:1926 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,3,4470,23861.3
Category:1929 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,2,4470,23863.1
Category:1930 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,1,4470,23864.7
Category:1953 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23882.5
Category:1955 stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,1,0,4470,23917.3
Category:Philatelists from New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,0,4470,23918.8
Category:Postal fiscal stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,2,4470,23920.8
Category:Flags of New Zealand on stamps,Oceania / Pacific,Aotearoa New Zealand,postage stamp,3,completed,0,0,7,4470,23923.0
