cluster_key,source_family,family_class,region,theme,five_year_bucket,cluster_size,packet_relation_lane,packet_confidence,eligible_rows,anchor_rows,member_or_sub_rows,scope_status,scope_reason,blocking_dimensions,manual_resolution_path,seed_priority,sample_titles
Georgia|Travel and transport poster culture|Georgia State CONTENTdm|1950-1954,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Travel and transport poster culture,1950-1954,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Margaret Whiting scrapbook 3
Georgia|Travel and transport poster culture|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Travel and transport poster culture,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"TWU Express, 1989-06-30"
Georgia|Travel and transport poster culture|Georgia State CONTENTdm|1995-1999,Georgia State CONTENTdm,library_archive_or_aggregator,Georgia,Travel and transport poster culture,1995-1999,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Transit Times, 1995-04"
Puerto Rico|Postwar exhibition and cultural posters|Georgia State CONTENTdm|1970-1974,Georgia State CONTENTdm,library_archive_or_aggregator,Puerto Rico,Postwar exhibition and cultural posters,1970-1974,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Poster: Mar y Sol; Easter in the Caribbean with Music and Friends, The First International Puerto<br>Rican Pop Festival, April 1-3, 1972"
South Africa|Public health and social communication|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,South Africa,Public health and social communication,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"ACTWU, Deep South Region, 1982-1988"
United States|Corporate identity and design systems|Georgia State CONTENTdm|undated_or_unparsed,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Corporate identity and design systems,undated_or_unparsed,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Inventory of unscanned negatives in the Lane Brothers photographic collection, Corporate bodies series (number 5 of 6"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1935-1939,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1935-1939,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Index card file for plants or locals in Washington, D.C., 1936 | Machinists' Monthly Journal, 1936-01"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1940-1944,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1940-1944,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Aero Mechanic, 1942-10-15 | Machinists' Monthly Journal, 1942-03"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1950-1954,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1950-1954,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Man and poster encouraging union members to vote at a CIO Constitutional Convention, Chicago, Illinois, November 1950. | Machinists' Monthly Journal, 1952-08"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1960-1964,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1960-1964,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Machinist, 1960-11-17"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1965-1969,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1965-1969,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Dean Girardot scrapbook 1 (J.P. Stevens and Co. campaign), 1963-1965"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1970-1974,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1970-1974,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Open Door, 1971-03"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1975-1979,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1975-1979,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The 751 Aero Mechanic, 1975-09-04 | Creative Loafing, 1975-07-12 | Focus, 1977-03-03"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1980-1984,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1980-1984,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"March for Life, 1983-09"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"HIV prescription medication, flyers, newspaper clippings, and information, 1987-1989"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1990-1994,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1990-1994,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The DeKalb Collegian, 1993-05-05"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|1995-1999,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1995-1999,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"""Mixtitlan,"" by Philip Boehm, silent auction catalog for an ""Opening Night Fiesta,""at 7 Stages Theatre, Atlanta, Georgia, May 7, 1999. (14 pages)"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|2000-2004,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,2000-2004,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Collegian, 2003-12-08"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|2005-2009,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,2005-2009,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The IAM District 190 Sparkplug, 2009-06/2009-07 | IAM Journal, 2008, Summer"
United States|Midcentury modern graphic communication|Georgia State CONTENTdm|undated_or_unparsed,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Midcentury modern graphic communication,undated_or_unparsed,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Inventory of unscanned negatives in the Lane Brothers photographic collection, Things series (number 2 of 2)"
United States|Modern typography and layout|Georgia State CONTENTdm|1980-1984,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Modern typography and layout,1980-1984,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"MCCL Newsletter, 1984-08 | People Concerned for the Unborn Child Newsletter, 1981-12"
United States|Modern typography and layout|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Modern typography and layout,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Unitarian Universalist Lesbian and Gay Community Newsletters, 1986"
United States|Public health and social communication|Georgia State CONTENTdm|1945-1949,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Public health and social communication,1945-1949,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Anti-CIO political poster from Eastman, Georgia, circa 1946."
United States|Public health and social communication|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Public health and social communication,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Posters and Calendar of Atlanta Black History
United States|Travel and transport poster culture|Georgia State CONTENTdm|1960-1964,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1960-1964,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Georgia State Signal, 1960-02-02"
United States|Travel and transport poster culture|Georgia State CONTENTdm|1965-1969,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1965-1969,6,packet_parentage_review,medium,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Georgia State College Signal, 1968-10-10 | The Georgia State College Signal, 1966-04-28 | Great Speckled Bird v. 1 no. 4 (April 26, 1968) | Great Speckled Bird v. 2 no. 23 (August 18, 1969) | Great Speckled Bird v. 1 no. 32 [33] (February 7, 1969)"
United States|Travel and transport poster culture|Georgia State CONTENTdm|1970-1974,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1970-1974,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Executive Board Memoranda, 1971-1972 | Great Speckled Bird v. 3 no. 18 (May 4, 1970) | Great Speckled Bird v. 5 no. 26 (July 3, 1972)"
United States|Travel and transport poster culture|Georgia State CONTENTdm|1975-1979,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1975-1979,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Otto Kleiman and Anne Cox Chambers presenting Georgia Governor Busbee with a Bio-Energy '80, World Congress poster, Atlanta, Georgia, November 27, 1979. | Eastern Region Public Relations Program Facility Manual, 1979 | PATCO Safety Committee, Correspondence, News Clippings, 1975-1976 [2 of 2]"
United States|Travel and transport poster culture|Georgia State CONTENTdm|1980-1984,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1980-1984,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Georgia State University Signal, 1981-04-28 | Fair Labor Standards Act, General Correspondence, 1977-1980 | News clippings re: Eastern Airlines [folder 11 of 11], 1981"
United States|Travel and transport poster culture|Georgia State CONTENTdm|1985-1989,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Rampway, 1986"
United States|Travel and transport poster culture|Georgia State CONTENTdm|1990-1994,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,1990-1994,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Signal, 1992-03-03"
United States|Travel and transport poster culture|Georgia State CONTENTdm|2000-2004,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,2000-2004,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Georgia State University Signal, 2002-10-15"
United States|Travel and transport poster culture|Georgia State CONTENTdm|2010-2014,Georgia State CONTENTdm,library_archive_or_aggregator,United States,Travel and transport poster culture,2010-2014,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"The Signal, 2013-10-08"
United States|World War and public-information graphics|Georgia State CONTENTdm|1945-1949,Georgia State CONTENTdm,library_archive_or_aggregator,United States,World War and public-information graphics,1945-1949,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Worker's Defense League, 1942-1945"
United States|World War and public-information graphics|Georgia State CONTENTdm|1950-1954,Georgia State CONTENTdm,library_archive_or_aggregator,United States,World War and public-information graphics,1950-1954,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Periodicals, assorted, 1938-1951"
United States|World War and public-information graphics|Georgia State CONTENTdm|1970-1974,Georgia State CONTENTdm,library_archive_or_aggregator,United States,World War and public-information graphics,1970-1974,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Walter Botts with the famous Uncle Sam poster he posed for, 1971"
United States|World War and public-information graphics|Georgia State CONTENTdm|1975-1979,Georgia State CONTENTdm,library_archive_or_aggregator,United States,World War and public-information graphics,1975-1979,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Solidarity Forever poster, 1970s"
United States|World War and public-information graphics|Georgia State CONTENTdm|undated_or_unparsed,Georgia State CONTENTdm,library_archive_or_aggregator,United States,World War and public-information graphics,undated_or_unparsed,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Biographical information, 1939-1981; undated"
India|Midcentury modern graphic communication|Indian Memory Project|2020-2024,Indian Memory Project,design_or_cultural_institution,India,Midcentury modern graphic communication,2020-2024,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,On our last name ‘Telang’
India|World War and public-information graphics|Indian Memory Project|2010-2014,Indian Memory Project,design_or_cultural_institution,India,World War and public-information graphics,2010-2014,2,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,The cockerel-fighter from Punjab who became one of Africa’s greatest cameramen | Uncannily bonded to a famous grandfather I never knew
India|World War and public-information graphics|Indian Memory Project|2020-2024,Indian Memory Project,design_or_cultural_institution,India,World War and public-information graphics,2020-2024,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Constance, our fiercely independent grandmother."
Canada|Modern typography and layout|Internet Archive|1970-1974,Internet Archive,library_archive_or_aggregator,Canada,Modern typography and layout,1970-1974,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Graphic design Canada; Graphisme canadien. --
France|Modern typography and layout|Internet Archive|1935-1939,Internet Archive,library_archive_or_aggregator,France,Modern typography and layout,1935-1939,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,How To Draw Comics And Commercial Art
Japan|Midcentury modern graphic communication|Internet Archive|2015-2019,Internet Archive,library_archive_or_aggregator,Japan,Midcentury modern graphic communication,2015-2019,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Worlds Of Amano
Romania|World War and public-information graphics|Internet Archive|2015-2019,Internet Archive,library_archive_or_aggregator,Romania,World War and public-information graphics,2015-2019,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,CHIP CD-ROM Romania November 2005
United Kingdom|Modern typography and layout|Internet Archive|2015-2019,Internet Archive,library_archive_or_aggregator,United Kingdom,Modern typography and layout,2015-2019,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Design elements : a graphic style manual : understanding the rules and knowing when to break them
United States|Midcentury modern graphic communication|Internet Archive|2005-2009,Internet Archive,library_archive_or_aggregator,United States,Midcentury modern graphic communication,2005-2009,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Design and evaluation of computer/human interfaces : issues for librarians and information scientists
United States|Modern typography and layout|Internet Archive|1935-1939,Internet Archive,library_archive_or_aggregator,United States,Modern typography and layout,1935-1939,2,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Graphic design; a library of old and new masters in the graphic arts | Commercial art
United States|Modern typography and layout|Internet Archive|1960-1964,Internet Archive,library_archive_or_aggregator,United States,Modern typography and layout,1960-1964,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Graphic design: visual comparisons
United States|Modern typography and layout|Internet Archive|1970-1974,Internet Archive,library_archive_or_aggregator,United States,Modern typography and layout,1970-1974,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"A history of design from the Victorian era to the present; a survey of the modern style in architecture, interior design, industrial design, graphic design, and photography | Layout and graphic design"
United States|Modern typography and layout|Internet Archive|2010-2014,Internet Archive,library_archive_or_aggregator,United States,Modern typography and layout,2010-2014,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Graphic design for the electronic age
United States|World War and public-information graphics|Internet Archive|1960-1964,Internet Archive,library_archive_or_aggregator,United States,World War and public-information graphics,1960-1964,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Graphic design : a creative approach
United States|World War and public-information graphics|Internet Archive|2010-2014,Internet Archive,library_archive_or_aggregator,United States,World War and public-information graphics,2010-2014,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Designing for emotion
United States|Modern typography and layout|Letterform Archive|2025-2029,Letterform Archive,design_or_cultural_institution,United States,Modern typography and layout,2025-2029,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Inside Lettres Décoratives: A Century of French Sign Painters’ Alphabets | This Just In: Chinese Lettering Manuals, 1930⁠–⁠1971 | From the Collection: Emigre Font Development Files"
United States|Travel and transport poster culture|Letterform Archive|2025-2029,Letterform Archive,design_or_cultural_institution,United States,Travel and transport poster culture,2025-2029,2,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Inside Hotel Retro : Vintage Luggage Labels Get New Life as Charming Stickers in Our Latest Book | Type West Alumni Spotlight: 2024–2025
United States|World War and public-information graphics|Letterform Archive|2025-2029,Letterform Archive,design_or_cultural_institution,United States,World War and public-information graphics,2025-2029,2,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"From the Collection: Legacies of Swiss Style, Part 2—Wolfgang Weingart | संग्रह से : हिन्दी में लेटरफॉर्म आर्काइव का परिचय"
United Kingdom|Midcentury modern graphic communication|Library of Congress|1885-1889,Library of Congress,library_archive_or_aggregator,United Kingdom,Midcentury modern graphic communication,1885-1889,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Cadbury's almanack for 2,000 years - a literary & useful curiosity"
United States|Midcentury modern graphic communication|Library of Congress|1915-1919,Library of Congress,library_archive_or_aggregator,United States,Midcentury modern graphic communication,1915-1919,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"A cobbler who doesn't wear shoes. This hole in the wall is a typical cobbler's shop at Skoplje, Serbia. His own shoeless feet wouldn't be considered a very good advertisement for his trade in America. But he has all the trade that he can take care of as leathe"
United States|World War and public-information graphics|Library of Congress|1935-1939,Library of Congress,library_archive_or_aggregator,United States,World War and public-information graphics,1935-1939,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Work Projects Administration poster collection (Library of Congress)
United States|World War and public-information graphics|Library of Congress|1940-1944,Library of Congress,library_archive_or_aggregator,United States,World War and public-information graphics,1940-1944,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"WPB (War Production Board) poster. This is the official poster which may be displayed on all construction work costing over five hundred thousand dollars with certain exceptions, to show that the work has been authorized by the WPA (Work Projects Administratio"
Mexico|Corporate identity and design systems|Los Angeles Public Library Tessa / CONTENTdm|1970-1974,Los Angeles Public Library Tessa / CONTENTdm,library_archive_or_aggregator,Mexico,Corporate identity and design systems,1970-1974,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,African Heritage Festival
