ordinal	pair_id	vocabulary_id_a	vocabulary_id_b	label_a	label_b	normalized_label_a	normalized_label_b	canonical_pair_key	structurally_excluded	pair_universe_hash
232	R16A-PAIR:3c771bedb254b8328a46d42e6000d273395b1449b89a817c488ab64ed4e32dfa	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	self-exoticization	canonization	self-exoticization	canonization	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
233	R16A-PAIR:9415f5d2fcac7ac525618aac199da6870a58362f887644b1b8389ed0499e7de7	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	self-exoticization	imitation	self-exoticization	imitation	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
234	R16A-PAIR:ee9a9a0c0619c0aaff5bafecd07a10f178e1843a882cc22fc0543b09275cccaa	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	self-exoticization	rejection	self-exoticization	rejection	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
235	R16A-PAIR:95e7ca783acbb975b593138cdffa4280970265681ae82b5dd5555c8e36e89c72	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	typography	institutionalization	typography	institutionalization	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
236	R16A-PAIR:87712109fd850370f17b57573d499de9cadb2583aae04da81c4789c6975eed8e	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	typography	cultural negotiation	typography	cultural negotiation	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
237	R16A-PAIR:3209613b0d474f585730f43884e333278c8864da31488ebe364ef7049af933bc	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	typography	gendering	typography	gendering	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
238	R16A-PAIR:7da7dfea11e8b1ff8c1bba0bc5d5f6352b22873f31f55de5bb9a6428ec83c6ad	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	typography	education	typography	education	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
239	R16A-PAIR:81ed51c947cde42c0a5e2523e4553eb1c0637fca0a348baa56ab29c54db933e1	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	typography	exhibition	typography	exhibition	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
240	R16A-PAIR:75976d0c563863bef91cb51443596cc3854ebd1865207758ef421004c83f5a5c	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	typography	mediation	typography	mediation	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
241	R16A-PAIR:1a04e85c70786c43b62fb62eeec31029442604090f398b556a337693855b5699	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	typography	cultural transformation	typography	cultural transformation	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
242	R16A-PAIR:199024538efaf5d6d1f635a0ff84e060d9bce28b77851f5f55130c1073329b53	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	typography	mobile object	typography	mobile object	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
243	R16A-PAIR:430b57dd3272710d6928e229494dbac0a78ef05f79c94438a0a15d1c3d09fc0d	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	typography	production	typography	production	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
244	R16A-PAIR:52e969b1224b6d9156582a7f31028334249625db270ada5b3e5c6ad709c8e93e	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	typography	consumption	typography	consumption	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
245	R16A-PAIR:fe4795eb92f0a0a109aabf7cd08012d44d0173a851cec1d565497cbc3e1a4d30	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	typography	professionalization	typography	professionalization	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
246	R16A-PAIR:5eafc9c09ea74f99662912f12bf88c64ab1510ffa7c83bf2aedde77b7c482701	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	typography	commodification	typography	commodification	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
247	R16A-PAIR:98b04979a6519e89c5521898df28fe93108fb564fd18799d0d87e3065eaac4f9	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	typography	production site	typography	production site	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
248	R16A-PAIR:f09da9f7c1a00adbc91841b0a9c026f5cd0c666ab394ff39a491e8d74d356058	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	typography	piracy	typography	piracy	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
249	R16A-PAIR:b5255b96e88860f01377c8b375e7d0e6465a8647ae40e0835c732bca0c499418	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	typography	cultural transfer	typography	cultural transfer	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
250	R16A-PAIR:becaa2b78bb18f6f2979851dade7462574b0b1fc182f1572b73a19fc2b75612c	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	typography	propaganda	typography	propaganda	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
251	R16A-PAIR:457de9d9ce6da362d8d9659a5b2c8865f5e31f822e6f4da02aa494a1651472e0	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	typography	advertising	typography	advertising	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
252	R16A-PAIR:6d7b7b19e73bccb8cfa7090c04efdad4a0aa780927a24a98314e34d26252f2b8	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	typography	material displacement	typography	material displacement	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
253	R16A-PAIR:07f20cb4b7aebd4b308a292a44166ced233eee2313fbd8282c2f0d60b5783ae7	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	typography	canonization	typography	canonization	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
254	R16A-PAIR:b3523de24fcd2a79e6ef719e61874cdb8878a570216a96fa41cc07ba9cd9be11	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	typography	imitation	typography	imitation	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
255	R16A-PAIR:90621e38d2e21c589211fed4c67a34ca435047e094f9dd13688d7158dd487047	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	typography	rejection	typography	rejection	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
256	R16A-PAIR:2bcc6f7d462a2b173933ba70541d7c4a8bd498f2bfa0e408f529d928559c367b	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	institutionalization	cultural negotiation	institutionalization	cultural negotiation	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
257	R16A-PAIR:8c8deda61e0a64f953702f82780089cfae55eeb9c8812ecc10e92b98f67d4446	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	institutionalization	gendering	institutionalization	gendering	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
258	R16A-PAIR:5f5be4050efde24f657ef72cc5e9385aea3a299e8707f77310043be0f536b828	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	institutionalization	education	institutionalization	education	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
259	R16A-PAIR:189571f1c543bdb45ee92818f83b1ad78494d0981255cca2f75d9380de9ec510	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	institutionalization	exhibition	institutionalization	exhibition	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
260	R16A-PAIR:f3895183062d5fb62978c229f1d1eaa0a17d1418e9997e243a8b8ae538160560	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	institutionalization	mediation	institutionalization	mediation	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
261	R16A-PAIR:2bd53d3159bf99b5adf1adfd6dee018c53db8a2506c08a3096046cdba531189c	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	institutionalization	cultural transformation	institutionalization	cultural transformation	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
262	R16A-PAIR:cef6577758d76ccd99bd238ba0ca0c65a68ab2bb6873cc7030ed1516e677bbe0	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	institutionalization	mobile object	institutionalization	mobile object	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
263	R16A-PAIR:59df391217488ab4aa221fd52428863a33bb8ed5e2e4d08dbb5ae9ba08439541	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	institutionalization	production	institutionalization	production	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
264	R16A-PAIR:9f7b62374330d7a9e63551939a143089ccbda1540b2948308271e4d4b3f78aa0	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	institutionalization	consumption	institutionalization	consumption	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
265	R16A-PAIR:9d6b149f9ea2e617d5b45153c18bed1eeff22bd4c979cc8d6767b8c213e4d419	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	institutionalization	professionalization	institutionalization	professionalization	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
266	R16A-PAIR:f5359142afc7c04e6307b8067e0d2ce9b0630699a3ab7783209027a477e374a8	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	institutionalization	commodification	institutionalization	commodification	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
267	R16A-PAIR:ed0878e5200162c4f736e2d12d9b5c0178743e637c97051e017ec0c7e0def70c	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	institutionalization	production site	institutionalization	production site	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
268	R16A-PAIR:a747a5968474a5cd4622a99dc951be618ceabf4079ecf770e0414d35e3ce8e52	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	institutionalization	piracy	institutionalization	piracy	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
269	R16A-PAIR:4f44fe1d241e7a7603fa0ae1f356bfc0ab6175f0bee8ee0813db472d2b83214c	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	institutionalization	cultural transfer	institutionalization	cultural transfer	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
270	R16A-PAIR:93eebaf488c56d4d77c4136eab00225c4f5274dd156c8842efe58fd36d231ed2	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	institutionalization	propaganda	institutionalization	propaganda	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
271	R16A-PAIR:4e5806cf19493b3f04a21dac15c9366fc5594c8626f3d3fb38c35b912dd2cd8f	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	institutionalization	advertising	institutionalization	advertising	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
272	R16A-PAIR:5feae615f21382a35c1df70827fdc689cb3604849c9039614c87564ea39f2682	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	institutionalization	material displacement	institutionalization	material displacement	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
273	R16A-PAIR:f253345300e12ce78454f8582ea0c9c953e873a4148c06a82eb905ca2dead987	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	institutionalization	canonization	institutionalization	canonization	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
274	R16A-PAIR:349eff5380c258e011f72ad8980d5909b3df42c82b0f68ebb06ba1408ce762b4	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	institutionalization	imitation	institutionalization	imitation	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
275	R16A-PAIR:dcaaf95d6ff6f0c793bddbaa39d0cfeb607f98a43e7e7df20bc42b1480ff3112	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	institutionalization	rejection	institutionalization	rejection	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
276	R16A-PAIR:e888c996c166797b927a81a2cf9f5e6a867176e1802f778d292a759777c66bc1	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	cultural negotiation	gendering	cultural negotiation	gendering	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
277	R16A-PAIR:d7026eced07d2a2990c6a16fda2b5ed12ad82d881a512726d35bfcd682c249b4	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	cultural negotiation	education	cultural negotiation	education	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
